Name,Size,Type,Alignment,AC,HP,Speed,Challenge_Rating,XP,STR,STR_Mod,DEX,DEX_Mod,CON,CON_Mod,INT,INT_Mod,WIS,WIS_Mod,CHA,CHA_Mod,Saving_Throws,Skills,Passive_Perception,Senses,Languages,Vulnerabilities,Damage_Vulnerabilities,Resistances,Immunities,Condition_Immunities,Habitat,Treasure,Gear,Traits,Actions,Reactions,Bonus_Actions,Legendary_Actions,Legendary_Actions_Num,Legendary_Actions_Desc,Source_Name,Image_URL
Gladiator,Medium,humanoid (any race),Any Alignment,"16 (Studded Leather, Shield)",112 (15d8+45),30 ft.,5,"1,800",18,+4,15,+2,16,+3,10,+0,12,+1,15,+2,"Str +7, Dex +5, Con +6","Athletics +10, Intimidation +5",11,,Any One Language (Usually Common),,,,,,,,,Brave: The gladiator has advantage on saving throws against being frightened. | Brute: A melee weapon deals one extra die of its damage when the gladiator hits with it (included in the attack).,"Multiattack: The gladiator makes three melee attacks or two ranged attacks. | Spear (One-Handed):  | Spear (Two-Handed):  | Spear (Ranged):  | Shield Bash: If the target is a Medium or smaller creature, it must succeed on a DC 15 Strength saving throw or be knocked prone","Parry: The gladiator adds 3 to its AC against one melee attack that would hit it. To do so, the gladiator must see the attacker and be wielding a melee weapon.",,,,,Free Basic Rules (2014),https://files.d20.io/images/390064236/jfGrITQgIBSE9mH4CQNWug/original.png
Gnoll,Medium,humanoid (gnoll),Chaotic Evil,"15 (Hide Armor, Shield)",22 (5d8),30 ft.,1/2,100,14,+2,12,+1,11,+0,6,-2,10,+0,7,-2,,,10,Darkvision 60 Ft.,Gnoll,,,,,,,,,"Rampage: When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack.",Bite:  | Spear: two handed | Spear:  | Spear:  | Longbow: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064257/2V1VJKCdVoE1F6OD4Loz3w/original.png
Goat,Medium,beast,Unaligned,10,4 (1d8),40 ft.,0,10,12,+1,10,+0,11,+0,2,-4,10,+0,5,-3,,,10,,,,,,,,,,,"Charge: If the goat moves at least 20 ft. straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 10 Strength saving throw or be knocked prone. | Sure-Footed: The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.",Ram: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064325/2MrLj0DD4EEjQ-75vFe8VQ/original.png
Goblin,Small,humanoid (goblinoid),Neutral Evil,"15 (Leather Armor, Shield)",7 (2d6),30 ft.,1/4,50,8,-1,14,+2,10,+0,10,+0,8,-1,8,-1,,Stealth +6,9,Darkvision 60 Ft.,"Common, Goblin",,,,,,,,,Nimble Escape: The goblin can take the Disengage or Hide action as a bonus action on each of its turns.,Scimitar:  | Shortbow: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064346/r02-1vRP1XQSg3iWbV3fjQ/original.png
Gold Dragon Wyrmling,Medium,dragon,Lawful Good,17 (Natural Armor),60 (8d8+24),"30 ft., fly 60 ft., swim 30 ft.",3,700,19,+4,14,+2,17,+3,14,+2,11,+0,16,+3,"Dex +4, Con +5, Wis +2, Cha +5","Perception +4, Stealth +4",14,"Blindsight 10 Ft., Darkvision 60 Ft.",Draconic,,,,Fire,,,,,Amphibious: The dragon can breathe air and water.,"Bite:  | Breath Weapons (Recharge 5-6): The dragon uses one of the following breath weapons. Fire Breath. The dragon exhales fire in a 15-foot cone. Each creature in that area must make a DC 13 Dexterity saving throw, taking 22 (4d10) fire damage on a failed save, or half as much damage on a successful one. Weakening Breath. The dragon exhales gas in a 15-foot cone. Each creature in that area must succeed on a DC 13 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064360/ZfvgLpIWoMg9gFhK5_aPqg/original.png
Gorgon,Large,monstrosity,Unaligned,19 (Natural Armor),114 (12d10+48),40 ft.,5,"1,800",20,+5,11,+0,18,+4,2,-4,12,+1,7,-2,,Perception +4,14,Darkvision 60 Ft.,,,,,,petrified,,,,"Trampling Charge: If the gorgon moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 16 Strength saving throw or be knocked prone. If the target is prone, the gorgon can make one attack with its hooves against it as a bonus action.","Gore:  | Hooves:  | Petrifying Breath (Recharge 5-6): The gorgon exhales petrifying gas in a 30-foot cone. Each creature in that area must succeed on a DC 13 Constitution saving throw. On a failed save, a target begins to turn to stone and is restrained. The restrained target must repeat the saving throw at the end of its next turn. On a success, the effect ends on the target. On a failure, the target is petrified until freed by the greater restoration spell or other magic.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064376/fZTHGX18j2eR_qb10DiBXw/original.png
Gray Ooze,Medium,ooze,Unaligned,8,22 (3d8+9),"10 ft., climb 10 ft.",1/2,100,12,+1,6,-2,16,+3,1,-5,6,-2,2,-4,,Stealth +2,8,Blindsight 60 Ft. (Blind Beyond This Radius),,,,"Acid, Cold, Fire",,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",,,,"Amorphous: The ooze can move through a space as narrow as 1 inch wide without squeezing. | Corrode Metal: Any nonmagical weapon made of metal that hits the ooze corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal that hits the ooze is destroyed after dealing damage. The ooze can eat through 2-inch-thick, nonmagical metal in 1 round. | False Appearance: While the ooze remains motionless, it is indistinguishable from an oily pool or wet rock.","Pseudopod: If the target is wearing nonmagical metal armor, its armor is partly corroded and takes a permanent and cumulative -1 penalty to the ac it offers The armor is destroyed if the penalty reduces its AC to 10",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064428/ZL45q8iQkhWGp8IJ6kp4qg/original.png
Green Dragon Wyrmling,Medium,dragon,Lawful Evil,17 (Natural Armor),38 (7d8+7),"30 ft., fly 60 ft., swim 30 ft.",2,450,15,+2,12,+1,13,+1,14,+2,11,+0,13,+1,"Dex +3, Con +3, Wis +2, Cha +3","Perception +4, Stealth +3",14,"Blindsight 10 Ft., Darkvision 60 Ft.",Draconic,,,,Poison,Poisoned,,,,Amphibious: The dragon can breathe air and water.,"Bite:  | Poison Breath (Recharge 5-6): The dragon exhales poisonous gas in a 15-foot cone. Each creature in that area must make a DC 11 Constitution saving throw, taking 21 (6d6) poison damage on a failed save, or half as much damage on a successful one.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064615/2-cZ8nLHd_qBgQEBUlkOaA/original.png
Green Hag,Medium,fey,Neutral Evil,17 (Natural Armor),82 (11d8+33),30 ft.,3,700,18,+4,12,+1,16,+3,13,+1,14,+2,14,+2,,"Arcana +3, Deception +4, Perception +4, Stealth +3",14,Darkvision 60 Ft.,"Common, Draconic, Sylvan",,,,,,,,,"Amphibious: The hag can breathe air and water. | Innate Spellcasting: The hag's innate spellcasting ability is Charisma (spell save DC 12). She can innately cast the following spells, requiring no material components:   At will: dancing lights, minor illusion, vicious mockery | Mimicry: The hag can mimic animal sounds and humanoid voices. A creature that hears the sounds can tell they are imitations with a successful DC 14 Wisdom (Insight) check.","Claws:  | Illusory Appearance: The hag covers herself and anything she is wearing or carrying with a magical illusion that makes her look like another creature of her general size and humanoid shape. The illusion ends if the hag takes a bonus action to end it or if she dies. The changes wrought by this effect fail to hold up to physical inspection. For example, the hag could appear to have smooth skin, but someone touching her would feel her rough flesh. Otherwise, a creature must take an action to visually inspect the illusion and succeed on a DC 20 Intelligence (Investigation) check to discern that the hag is disguised. | Invisible Passage: The hag magically turns invisible until she attacks or casts a spell, or until her concentration ends (as if concentrating on a spell). While invisible, she leaves no physical evidence of her passage, so she can be tracked only by magic. Any equipment she wears or carries is invisible with her.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064633/-0P2LOVCU2EGSGom7rutAw/original.png
Grick,Medium,monstrosity,Neutral,14 (Natural Armor),27 (6d8),"30 ft., climb 30 ft.",2,450,14,+2,14,+2,11,+0,3,-4,14,+2,5,-3,,,12,Darkvision 60 Ft.,,,,"Bludgeoning, Piercing, and Slashing From Nonmagical Attacks",,,,,,Stone Camouflage: The grick has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.,"Multiattack: The grick makes one attack with its tentacles. If that attack hits, the grick can make one beak attack against the same target. | Tentacles:  | Beak: ",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064650/5__7yiIEYMvDNnmUB5s2Aw/original.png
Griffon,Large,monstrosity,Unaligned,12,59 (7d10+21),"30 ft., fly 80 ft.",2,450,18,+4,15,+2,16,+3,2,-4,13,+1,8,-1,,Perception +5,15,Darkvision 60 Ft.,,,,,,,,,,Keen Sight: The griffon has advantage on Wisdom (Perception) checks that rely on sight.,Multiattack: The griffon makes two attacks: one with its beak and one with its claws. | Beak:  | Claws: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064663/M-FJ-OxCXOpKasDkgl0_vg/original.png
Grimlock,Medium,humanoid (grimlock),Neutral Evil,11,11 (2d8+2),30 ft.,1/4,50,16,+3,12,+1,12,+1,9,-1,8,-1,6,-2,,"Athletics +5, Perception +3, Stealth +3",13,Blindsight 30 Ft. Or 10 Ft. While Deafened (Blind Beyond This Radius),Undercommon,,,,Blinded,,,,,Blind Senses: The grimlock can't use its blindsight while deafened and unable to smell. | Keen Hearing and Smell: The grimlock has advantage on Wisdom (Perception) checks that rely on hearing or smell. | Stone Camouflage: The grimlock has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.,Spiked Bone Club: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064671/wKLxXlqxh7HiCZS0iwOvJA/original.png
Guard,Medium,humanoid (any race),Any Alignment,"16 (Chain Shirt, Shield)",11 (2d8+2),30 ft.,1/8,25,13,+1,12,+1,12,+1,10,+0,11,+0,10,+0,,Perception +2,12,,Any One Language (Usually Common),,,,,,,,,,Spear (One-Handed):  | Spear (Two-Handed):  | Spear (Ranged): ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064685/6mgHMCwIyrWaA6POauhoBA/original.png
Guardian Naga,Large,monstrosity,Lawful Good,18 (Natural Armor),127 (15d10+45),40 ft.,10,"5,900",19,+4,18,+4,16,+3,16,+3,19,+4,18,+4,"Dex +8, Con +7, Int +7, Wis +8, Cha +8",,14,Darkvision 60 Ft.,"Celestial, Common",,,,Poison,"Charmed, Poisoned",,,,"Rejuvenation: If it dies, the naga returns to life in 1d6 days and regains all its hit points. Only a wish spell can prevent this trait from functioning. | Spellcasting: The naga is an 11th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 16, +8 to hit with spell attacks), and it needs only verbal components to cast its spells. It has the following cleric spells prepared:   • Cantrips (at will): mending, sacred flame, thaumaturgy • 1st level (4 slots): command, cure wounds, shield of faith • 2nd level (3 slots): calm emotions, hold person • 3rd level (3 slots): bestow curse, clairvoyance • 4th level (3 slots): banishment, freedom of movement • 5th level (2 slots): flame strike, geas • 6th level (1 slot): true seeing","Bite: The target must make a DC 15 Constitution saving throw, taking the poison damage on a failed save, or half as much damage on a successful one. | Spit Poison: The target must make a DC 15 Constitution saving throw, taking the poison damage on a failed save, or half as much damage on a successful one.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png
Gynosphinx,Large,monstrosity,Lawful Neutral,17 (Natural Armor),136 (16d10+48),"40 ft., fly 60 ft.",11,"7,200",18,+4,15,+2,16,+3,18,+4,18,+4,18,+4,,"Arcana +12, History +12, Perception +8, Religion +8",18,Truesight 120 Ft.,"Common, Sphinx",,,"Bludgeoning, Piercing, and Slashing From Nonmagical Attacks",Psychic,"Charmed, Frightened",,,,"Inscrutable: The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage. | Magic Weapons: The sphinx's weapon attacks are magical. | Spellcasting: The sphinx is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following wizard spells prepared:   • Cantrips (at will): mage hand, minor illusion, prestidigitation • 1st level (4 slots): detect magic, identify, shield • 2nd level (3 slots): darkness, locate object, suggestion • 3rd level (3 slots): dispel magic, remove curse, tongues • 4th level (3 slots): banishment, greater invisibility • 5th level (1 slot): legend lore",Multiattack: The sphinx makes two claw attacks. | Claw: ,,,"Claw Attack: The sphinx makes one claw attack. | Teleport (Costs 2 Actions): The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see. | Cast a Spell (Costs 3 Actions): The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.",3,,Free Basic Rules (2014),https://files.d20.io/images/391835817/UIOGltZJIMfEHhNb8J11oQ/original.png
Half-Red Dragon Veteran,Medium,humanoid (human),Any,18 (plate),65 (10d8+20),30 ft.,5,"1,800",16,+3,13,+1,14,+2,10,+0,11,+0,10,+0,,"Athletics +5, Perception +2",12,"Blindsight 10 ft., Darkvision 60 ft.","Common, Draconic",,,Fire,,,,,,,"Multiattack: The veteran makes two longsword attacks. If it has a shortsword drawn, it can also make a shortsword attack. | Longsword: two handed | Longsword: one handed | Shortsword:  | Heavy Crossbow:  | Fire Breath (Recharge 5–6): The veteran exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 24 (7d6) fire damage on a failed save, or half as much damage on a successful one.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png
Harpy,Medium,monstrosity,Chaotic Evil,11,38 (7d8+7),"20 ft., fly 40 ft.",1,200,12,+1,13,+1,12,+1,7,-2,10,+0,13,+1,,,10,,Common,,,,,,,,,,"Multiattack: The harpy makes two attacks: one with its claws and one with its club. | Claws:  | Club:  | Luring Song: The harpy sings a magical melody. Every humanoid and giant within 300 ft. of the harpy that can hear the song must succeed on a DC 11 Wisdom saving throw or be charmed until the song ends. The harpy must take a bonus action on its subsequent turns to continue singing. It can stop singing at any time. The song ends if the harpy is incapacitated.  While charmed by the harpy, a target is incapacitated and ignores the songs of other harpies. If the charmed target is more than 5 ft. away from the harpy, the must move on its turn toward the harpy by the most direct route. It doesn't avoid opportunity attacks, but before moving into damaging terrain, such as lava or a pit, and whenever it takes damage from a source other than the harpy, a target can repeat the saving throw. A creature can also repeat the saving throw at the end of each of its turns. If a creature's saving throw is successful, the effect ends on it.  A target that successfully saves is immune to this harpy's song for the next 24 hours.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064697/VzVhSg6HGs9cL4DbbvrvUA/original.png
Hawk,Tiny,beast,Unaligned,13,1 (1d4-1),"10 ft., fly 60 ft.",0,10,5,-3,16,+3,8,-1,2,-4,14,+2,6,-2,,Perception +4,14,,,,,,,,,,,Keen Sight: The hawk has advantage on Wisdom (Perception) checks that rely on sight.,Talons: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064705/r48SIRgrpImsdMMMzp0ARQ/original.png
Hell Hound,Medium,fiend,Lawful Evil,15 (Natural Armor),45 (7d8+14),50 ft.,3,700,17,+3,12,+1,14,+2,6,-2,13,+1,6,-2,,Perception +5,15,Darkvision 60 Ft.,Understands Infernal But Can't Speak It,,,,Fire,,,,,Keen Hearing and Smell: The hound has advantage on Wisdom (Perception) checks that rely on hearing or smell. | Pack Tactics: The hound has advantage on an attack roll against a creature if at least one of the hound's allies is within 5 ft. of the creature and the ally isn't incapacitated.,"Bite:  | Fire Breath (Recharge 5-6): The hound exhales fire in a 15-foot cone. Each creature in that area must make a DC 12 Dexterity saving throw, taking 21 (6d6) fire damage on a failed save, or half as much damage on a successful one.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064711/KkawDmu90qrzDOcqb76imQ/original.png
Hezrou,Large,fiend (demon),Chaotic Evil,16 (Natural Armor),136 (13d10+65),30 ft.,8,"3,900",19,+4,17,+3,20,+5,5,-3,12,+1,13,+1,"Str +7, Con +8, Wis +4",,11,Darkvision 120 Ft.,"Abyssal, Telepathy 120 Ft.",,,"Cold, Fire, Lightning; Bludgeoning, Piercing, and Slashing From Nonmagical Attacks",Poison,Poisoned,,,,"Magic Resistance: The hezrou has advantage on saving throws against spells and other magical effects. | Stench: Any creature that starts its turn within 10 feet of the hezrou must succeed on a DC 14 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the hezrou's stench for 24 hours.",Multiattack: The hezrou makes three attacks: one with its bite and two with its claws. | Bite:  | Claws: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png
Hill Giant,Huge,giant,Chaotic Evil,13 (Natural Armor),105 (10d12+40),40 ft.,5,"1,800",21,+5,8,-1,19,+4,5,-3,9,-1,6,-2,,Perception +2,12,,Giant,,,,,,,,,,Multiattack: The giant makes two greatclub attacks. | Greatclub:  | Rock: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390063721/l3WiAwqPG-l0WNxbZkC6Rg/original.png
Hippogriff,Large,monstrosity,Unaligned,11,19 (3d10+3),"40 ft, fly 60 ft.",1,200,17,+3,13,+1,13,+1,2,-4,12,+1,8,-1,,Perception +5,15,,,,,,,,,,,Keen Sight: The hippogriff has advantage on Wisdom (Perception) checks that rely on sight.,Multiattack: The hippogriff makes two attacks: one with its beak and one with its claws. | Beak:  | Claws: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064720/RKkrGiBQ4pzEuylu02bKDA/original.png
Hobgoblin,Medium,humanoid (goblinoid),Lawful Evil,"18 (Chain Mail, Shield)",11 (2d8+2),30 ft.,1/2,100,13,+1,12,+1,12,+1,10,+0,10,+0,9,-1,,,10,Darkvision 60 Ft.,"Common, Goblin",,,,,,,,,"Martial Advantage: Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn't incapacitated.",Longsword: two handed | Longsword: one handed | Longbow: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064971/afqV5h856QT6gwPRznKZDg/original.png
Homunculus,Tiny,construct,Neutral,13 (Natural Armor),5 (2d4),"20 ft., fly 40 ft.",0,10,4,-3,15,+2,11,+0,10,+0,10,+0,7,-2,,,10,Darkvision 60 Ft.,Understands The Languages Of Its Creator But Can't Speak,,,,Poison,"Charmed, Poisoned",,,,"Telepathic Bond: While the homunculus is on the same plane of existence as its master, it can magically convey what it senses to its master, and the two can communicate telepathically.","Bite: The target must succeed on a dc 10 constitution saving throw or be poisoned for 1 minute If the saving throw fails by 5 or more, the target is instead poisoned for 5 (1d10) minutes and unconscious while poisoned in this way",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390064989/bWYFc-70G3leoCYRAwKAQQ/original.png
Horned Devil,Large,fiend (devil),Lawful Evil,18 (Natural Armor),178 (17d10+85),"20 ft., fly 60 ft.",11,"7,200",22,+6,17,+3,21,+5,12,+1,16,+3,17,+3,"Str +10, Dex +7, Wis +7, Cha +7",,13,Darkvision 120 Ft.,"Infernal, Telepathy 120 Ft.",,,"Cold; Bludgeoning, Piercing, And Slashing From Nonmagical Attacks That Aren't Silvered","Fire, Poison",Poisoned,,,,Devil's Sight: Magical darkness doesn't impede the devil's darkvision. | Magic Resistance: The devil has advantage on saving throws against spells and other magical effects.,"Multiattack: The devil makes three melee attacks: two with its fork and one with its tail. It can use Hurl Flame in place of any melee attack. | Fork:  | Tail: If the target is a creature other than an undead or a construct, it must succeed on a DC 17 Constitution saving throw or lose 10 (3d6) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack, the damage dealt by the wound increases by 10 (3d6). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing | Hurl Flame: If the target is a flammable object that isn't being worn or carried, it also catches fire",,,,,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png
Hunter Shark,Large,beast,Unaligned,12 (Natural Armor),45 (6d10+12),Swim 40 ft.,2,450,18,+4,13,+1,15,+2,1,-5,10,+0,4,-3,,Perception +2,12,Blindsight 30 Ft.,,,,,,,,,,Blood Frenzy: The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. | Water Breathing: The shark can breathe only underwater.,Bite: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390065002/umSIG0q1vlEl1OxwPj9neg/original.png
Hydra,Huge,monstrosity,Unaligned,15 (Natural Armor),172 (15d12+75),"30 ft., swim 30 ft.",8,"3,900",20,+5,12,+1,20,+5,2,-4,10,+0,7,-2,,Perception +6,16,Darkvision 60 Ft.,,,,,,,,,,"Hold Breath: The hydra can hold its breath for 1 hour. | Multiple Heads: The hydra has five heads. While it has more than one head, the hydra has advantage on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious. Whenever the hydra takes 25 or more damage in a single turn, one of its heads dies. If all its heads die, the hydra dies. At the end of its turn, it grows two heads for each of its heads that died since its last turn, unless it has taken fire damage since its last turn. The hydra regains 10 hit points for each head regrown in this way. | Reactive Heads: For each head the hydra has beyond one, it gets an extra reaction that can be used only for opportunity attacks. | Wakeful: While the hydra sleeps, at least one of its heads is awake.",Multiattack: The hydra makes as many bite attacks as it has heads. | Bite: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390065027/MSTizSPC1hfC_N4AWqlJxQ/original.png
Hyena,Medium,beast,Unaligned,11,5 (1d8+1),50 ft.,0,10,11,+0,13,+1,12,+1,2,-4,12,+1,5,-3,,Perception +3,13,,,,,,,,,,,Pack Tactics: The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 ft. of the creature and the ally isn't incapacitated.,Bite: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390065059/9c5OD-5GsNj9o31SUosAJg/original.png
Ice Devil,Large,fiend (devil),Lawful Evil,18 (Natural Armor),180 (19d10+76),40 ft.,14,"11,500",21,+5,14,+2,18,+4,18,+4,15,+2,18,+4,"Dex +7, Con +9, Wis +7, Cha +9",,12,"Blindsight 60 Ft., Darkvision 120 Ft.","Infernal, Telepathy 120 Ft.",,,"Bludgeoning, Piercing, And Slashing From Nonmagical Attacks That Aren't Silvered","Cold, Fire, Poison",Poisoned,,,,Devil's Sight: Magical darkness doesn't impede the devil's darkvision. | Magic Resistance: The devil has advantage on saving throws against spells and other magical effects.,"Multiattack: The devil makes three attacks: one with its bite, one with its claws, and one with its tail. | Bite:  | Claws:  | Tail:  | Wall of Ice (Recharge 6): The devil magically forms an opaque wall of ice on a solid surface it can see within 60 feet of it. The wall is 1 foot thick and up to 30 feet long and 10 feet high, or it's a hemispherical dome up to 20 feet in diameter. When the wall appears, each creature in its space is pushed out of it by the shortest route. The creature chooses which side of the wall to end up on, unless the creature is incapacitated. The creature then makes a DC 17 Dexterity saving throw, taking 35 (10d6) cold damage on a failed save, or half as much damage on a successful one. The wall lasts for 1 minute or until the devil is incapacitated or dies. The wall can be damaged and breached; each 10-foot section has AC 5, 30 hit points, vulnerability to fire damage, and immunity to acid, cold, necrotic, poison, and psychic damage. If a section is destroyed, it leaves behind a sheet of frigid air in the space the wall occupied. Whenever a creature finishes moving through the frigid air on a turn, willingly or otherwise, the creature must make a DC 17 Constitution saving throw, taking 17 (5d6) cold damage on a failed save, or half as much damage on a successful one. The frigid air dissipates when the rest of the wall vanishes.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png
Ice Mephit,Small,elemental,Neutral Evil,11,21 (6d6),"30 ft., fly 30 ft.",1/2,100,7,-2,13,+1,10,+0,9,-1,11,+0,12,+1,,"Perception +2, Stealth +3",12,Darkvision 60 Ft.,"Aquan, Auran","Bludgeoning, Fire",,,"Cold, Poison",Poisoned,,,,"Death Burst: When the mephit dies, it explodes in a burst of jagged ice. Each creature within 5 ft. of it must make a DC 10 Dexterity saving throw, taking 4 (1d8) slashing damage on a failed save, or half as much damage on a successful one. | False Appearance: While the mephit remains motionless, it is indistinguishable from an ordinary shard of ice. | Innate Spellcasting (1/Day): The mephit can innately cast fog cloud, requiring no material components. Its innate spellcasting ability is Charisma.","Claws:  | Frost Breath (Recharge 6): The mephit exhales a 15-foot cone of cold air. Each creature in that area must succeed on a DC 10 Dexterity saving throw, taking 5 (2d4) cold damage on a failed save, or half as much damage on a successful one.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390065078/7oE-XbjGFH3nvbsXWxtYJQ/original.png
Imp,Tiny,"fiend (devil, shapechanger)",Lawful Evil,13,10 (3d4+3),"20 ft., fly 40 ft.",1,200,6,-2,17,+3,13,+1,11,+0,12,+1,14,+2,,"Deception +4, Insight +3, Persuasion +4, Stealth +5",11,Darkvision 120 Ft.,"Infernal, Common",,,"Cold; Bludgeoning, Piercing, and Slashing From Nonmagical Attacks That Aren't Silvered","Fire, Poison",Poisoned,,,,"Shapechanger: The imp can use its action to polymorph into a beast form that resembles a rat (speed 20 ft.), a raven (20 ft., fly 60 ft.), or a spider (20 ft., climb 20 ft.), or back into its true form. Its statistics are the same in each form, except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies. | Devil's Sight: Magical darkness doesn't impede the imp's darkvision. | Magic Resistance: The imp has advantage on saving throws against spells and other magical effects.","Sting (Bite in Beast Form): The target must make a DC 11 Constitution saving throw, taking the poison damage on a failed save, or half as much damage on a successful one. | Invisibility: The imp magically turns invisible until it attacks, or until its concentration ends (as if concentrating on a spell). Any equipment the imp wears or carries is invisible with it.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390067664/LEMy3y-6APXGexx01XrKow/original.png
Incubus,Medium,Fiend (Shapechanger),Neutral Evil,15 (Natural Armor),66 (12d8 + 12),"30 ft., fly 60 ft.",4,"1,100",8,-1,17,+3,13,+1,15,+2,12,+1,20,+5,,"Deception +9, Insight +5, Perception +5, Persuasion +9, Stealth +7",15,Darkvision 60 ft.,"Abyssal, Common, Infernal, Telepathy 60 ft.",,,"Cold, Fire, Lightning, Poison; Bludgeoning, Piercing, and Slashing from Nonmagical Attacks",,,,,,"Telepathic Bond: The fiend ignores the range restriction on its telepathy when communicating with a creature it has charmed. The two don’t even need to be on the same plane of existence. | Shapechanger: The fiend can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Without wings, the fiend loses its flying speed. Other than its size and speed, its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It reverts to its true form if it dies.","Claw (Fiend Form Only):  | Charm: One humanoid the fiend can see within 30 feet of it must succeed on a DC 15 Wisdom saving throw or be magically charmed for 1 day. The charmed target obeys the fiend’s verbal or telepathic commands. If the target suffers any harm or receives a suicidal command, it can repeat the saving throw, ending the effect on a success. If the target successfully saves against the effect, or if the effect on it ends, the target is immune to this fiend’s Charm for the next 24 hours.  
	The fiend can have only one target charmed at a time. If it charms another, the effect on the previous target ends. | Draining Kiss: The fiend kisses a creature charmed by it or a willing creature. The target must make a DC 15 Constitution saving throw against this magic, taking 32 (5d10 + 5) psychic damage on a failed save, or half as much damage on a successful one. The target’s hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0. | Etherealness: The fiend magically enters the Ethereal Plane from the Material Plane, or vice versa.",,,,,,Free Basic Rules (2014),https://files.d20.io/images/390065100/RHoMB8HWrrWD4mEVKx6SzQ/original.png
