monster,cr,name,description,damage,damage_2,hit_bonus,source,name_normalized,patterns,pattern_count,patterns_core,pattern_count_core,patterns_str_core,patterns_any,pattern_count_any,patterns_str_any,patterns_str,ma_patterns,ma_pattern_count,has_parsing_issue,complexity_category,ma_patterns_str
Hippogriff,Unknown,Multiattack,The hippogriff makes two attacks: one with its beak and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Horned Devil,Unknown,Multiattack,The devil makes three melee attacks: two with its fork and one with its tail. It can use Hurl Flame in place of any melee attack.,,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_with'],1,core_multiattack_with,"['multiattack', 'core_multiattack_with']",2,core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Hydra,Unknown,Multiattack,The hydra makes as many bite attacks as it has heads.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['count_variable'],1,True,variable_count,count_variable
Ice Devil,Unknown,Multiattack,"The devil makes three attacks: one with its bite, one with its claws, and one with its tail.",,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with']",3,False,simple_specific,count_three|with_its|one_with
Invisible Stalker,Unknown,Multiattack,The stalker makes two slam attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Iron Golem,Unknown,Multiattack,The golem makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Knight,Unknown,Multiattack,The knight makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Kraken,Unknown,Multiattack,"The kraken makes three tentacle attacks, each of which it can replace with one use of Fling.",,,,Actions,Multiattack,[],0,['core_multiattack_with'],1,core_multiattack_with,['core_multiattack_with'],1,core_multiattack_with,,[],0,False,unclassified,
Lamia,Unknown,Multiattack,The lamia makes two attacks: one with its claws and one with its dagger or Intoxicating Touch.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'or_alternative', 'with_its', 'one_with']",4,True,or_alternative,count_two|or_alternative|with_its|one_with
Lizardfolk,Unknown,Multiattack,"The lizardfolk makes two melee attacks, each one with a different weapon.",,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_with'],1,core_multiattack_with,"['multiattack', 'core_multiattack_with']",2,core_multiattack_with|multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Manticore,Unknown,Multiattack,The manticore makes three attacks: one with its bite and two with its claws or three with its tail spikes.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'or_alternative', 'with_its', 'one_with', 'two_with']",5,True,or_alternative,count_three|or_alternative|with_its|one_with|two_with
Marilith,Unknown,Multiattack,The marilith can make seven attacks: six with its longswords and one with its tail.,,,,Actions,Multiattack,[],0,['core_multiattack_with'],1,core_multiattack_with,['core_multiattack_with'],1,core_multiattack_with,,"['with_its', 'one_with']",2,False,simple_specific,with_its|one_with
Medusa,Unknown,Multiattack,The medusa makes either three melee attacks — one with its snake hair and two with its shortsword — or two ranged attacks with its longbow.,,,,Actions,Multiattack,[],0,['core_multiattack_with'],1,core_multiattack_with,['core_multiattack_with'],1,core_multiattack_with,,"['or_alternative', 'with_its', 'one_with', 'two_with']",4,True,or_alternative,or_alternative|with_its|one_with|two_with
Merrow,Unknown,Multiattack,The merrow makes two attacks: one with its bite and one with its claws or harpoon.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'or_alternative', 'with_its', 'one_with']",4,True,or_alternative,count_two|or_alternative|with_its|one_with
Mummy,Unknown,Multiattack,The mummy can use its Dreadful Glare and makes one attack with its rotting fist.,,,,Actions,Multiattack,[],0,['core_multiattack_with'],1,core_multiattack_with,['core_multiattack_with'],1,core_multiattack_with,,['with_its'],1,False,simple_specific,with_its
Mummy Lord,Unknown,Multiattack,The mummy can use its Dreadful Glare and makes one attack with its rotting fist.,,,,Actions,Multiattack,[],0,['core_multiattack_with'],1,core_multiattack_with,['core_multiattack_with'],1,core_multiattack_with,,['with_its'],1,False,simple_specific,with_its
Nalfeshnee,Unknown,Multiattack,The nalfeshnee uses Horror Nimbus if it can. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with', 'if_condition']",5,True,conditional,count_three|with_its|one_with|two_with|if_condition
Oni,Unknown,Multiattack,"The oni makes two attacks, either with its claws or its glaive.",,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'or_alternative', 'with_its']",3,True,or_alternative,count_two|or_alternative|with_its
Otyugh,Unknown,Multiattack,The otyugh makes three attacks: one with its bite and two with its tentacles.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Owlbear,Unknown,Multiattack,The owlbear makes two attacks: one with its beak and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Pit Fiend,Unknown,Multiattack,"The pit fiend makes four attacks: one with its bite, one with its claw, one with its mace, and one with its tail.",,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_with'],1,core_multiattack_with,"['multiattack', 'core_multiattack_with']",2,core_multiattack_with|multiattack,multiattack,"['count_four', 'with_its', 'one_with']",3,False,simple_specific,count_four|with_its|one_with
Planetar,Unknown,Multiattack,The planetar makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Polar Bear,Unknown,Multiattack,The bear makes two attacks: one with its bite and one with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Purple Worm,Unknown,Multiattack,The worm makes two attacks: one with its bite and one with its stinger.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Rakshasa,Unknown,Multiattack,The rakshasa makes two claw attacks,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['claw_attacks'],1,False,simple_specific,claw_attacks
Roc,Unknown,Multiattack,The roc makes two attacks: one with its beak and one with its talons.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Roper,Unknown,Multiattack,"The roper makes four attacks with its tendrils, uses Reel, and makes one attack with its bite.",,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_with'],1,core_multiattack_with,"['multiattack', 'core_multiattack_with']",2,core_multiattack_with|multiattack,multiattack,"['count_four', 'with_its']",2,False,simple_specific,count_four|with_its
Sahuagin,Unknown,Multiattack,The sahuagin makes two melee attacks: one with its bite and one with its claws or spear.,,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_with'],1,core_multiattack_with,"['multiattack', 'core_multiattack_with']",2,core_multiattack_with|multiattack,multiattack,"['count_two', 'or_alternative', 'with_its', 'one_with']",4,True,or_alternative,count_two|or_alternative|with_its|one_with
Salamander,Unknown,Multiattack,The salamander makes two attacks: one with its spear and one with its tail.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Scout,Unknown,Multiattack,The scout makes two melee attacks or two ranged attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,"['count_two', 'or_alternative']",2,True,or_alternative,count_two|or_alternative
Shambling Mound,Unknown,Multiattack,"The shambling mound makes two slam attacks. If both attacks hit a Medium or smaller target, the target is grappled (escape DC 14), and the shambling mound uses its Engulf on it.",,,,Actions,Multiattack,"['inflicts_grappled', 'escape_dc', 'swallow']",3,[],0,,"['swallow', 'inflicts_grappled', 'escape_dc']",3,escape_dc|inflicts_grappled|swallow,inflicts_grappled|escape_dc|swallow,"['or_alternative', 'if_condition']",2,True,or_alternative,or_alternative|if_condition
Shield Guardian,Unknown,Multiattack,The guardian makes two fist attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Solar,Unknown,Multiattack,The solar makes two greatsword attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['weapon_attack'],1,False,simple_specific,weapon_attack
Spy,Unknown,Multiattack,The spy makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Stone Giant,Unknown,Multiattack,The giant makes two greatclub attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Stone Golem,Unknown,Multiattack,The golem makes two slam attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Storm Giant,Unknown,Multiattack,The giant makes two greatsword attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,['weapon_attack'],1,False,simple_specific,weapon_attack
Tarrasque,Unknown,Multiattack,"The tarrasque can use its Frightful Presence. It then makes five attacks: one with its bite, two with its claws, one with its horns, and one with its tai l. It can use its Swallow instead of its bite.",,,,Actions,Multiattack,"['multiattack', 'swallow', 'fear_effect']",3,['core_multiattack_with'],1,core_multiattack_with,"['swallow', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_with|fear_effect|multiattack|swallow,multiattack|swallow|fear_effect,"['with_its', 'one_with', 'two_with']",3,False,simple_specific,with_its|one_with|two_with
Thug,Unknown,Multiattack,The thug makes two melee attacks.,,,,Actions,Multiattack,['multiattack'],1,[],0,,['multiattack'],1,multiattack,multiattack,['count_two'],1,False,simple_count,count_two
Treant,Unknown,Multiattack,The treant makes two slam attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Troll,Unknown,Multiattack,The troll makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Tyrannosaurus Rex,Unknown,Multiattack,The tyrannosaurus makes two attacks: one with its bite and one with its tail. It can't make both attacks against the same target.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Unicorn,Unknown,Multiattack,The unicorn makes two attacks: one with its hooves and one with its horn.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Vampire Spawn,Unknown,Multiattack,"The vampire makes two attacks, only one of which can be a bite attack.",,,,Actions,Multiattack,['multiattack'],1,['core_multiattack_two'],1,core_multiattack_two,"['multiattack', 'core_multiattack_two']",2,core_multiattack_two|multiattack,multiattack,"['count_two', 'only_one_can_be']",2,True,constrained,count_two|only_one_can_be
Veteran,Unknown,Multiattack,"The veteran makes two longsword attacks. If it has a shortsword drawn, it can also make a shortsword attack.",,,,Actions,Multiattack,[],0,[],0,,[],0,,,"['if_condition', 'weapon_attack']",2,True,conditional,if_condition|weapon_attack
Violet Fungus,Unknown,Multiattack,The fungus makes 1d4 Rotting Touch attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Vrock,Unknown,Multiattack,The vrock makes two attacks: one with its beak and one with its talons.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with']",3,False,simple_specific,count_two|with_its|one_with
Water Elemental,Unknown,Multiattack,The elemental makes two slam attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Werebear,Unknown,Multiattack,"In bear form, the werebear makes two claw attacks. In humanoid form, it makes two greataxe attacks. In hybrid form, it can attack like a bear or a humanoid.",,,,Actions,Multiattack,[],0,[],0,,[],0,,,"['or_alternative', 'in_form', 'claw_attacks', 'weapon_attack']",4,True,or_alternative,or_alternative|in_form|claw_attacks|weapon_attack
Wight,Unknown,Multiattack,The wight makes two longsword attacks or two longbow attacks. It can use its Life Drain in place of one longsword attack.,,,,Actions,Multiattack,['life_drain'],1,[],0,,['life_drain'],1,life_drain,life_drain,"['or_alternative', 'weapon_attack']",2,True,or_alternative,or_alternative|weapon_attack
Wyvern,Unknown,Multiattack,"The wyvern makes two attacks: one with its bite and one with its stinger. While flying, it can use its claws in place of one other attack.",,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_two', 'core_multiattack_with']",2,core_multiattack_two|core_multiattack_with,"['multiattack', 'core_multiattack_with', 'core_multiattack_two']",3,core_multiattack_two|core_multiattack_with|multiattack,multiattack,"['count_two', 'with_its', 'one_with', 'can_use_in_place']",4,False,simple_specific,count_two|with_its|one_with|can_use_in_place
Xorn,Unknown,Multiattack,The xorn makes three claw attacks and one bite attack.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,"['claw_attacks', 'bite_attack']",2,False,simple_specific,claw_attacks|bite_attack
Young Black Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young Blue Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young Brass Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young Bronze Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young Copper Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young Gold Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young Green Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young Red Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young Silver Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Young White Dragon,Unknown,Multiattack,The dragon makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,['multiattack'],1,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['multiattack', 'core_multiattack_three', 'core_multiattack_with']",3,core_multiattack_three|core_multiattack_with|multiattack,multiattack,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
