Monster Name,CR,Primary Archetype,Primary Archetype Score,Secondary Archetype,Secondary Archetype Score,Primary Role,Primary Role Score,Secondary Role,Secondary Role Score
Horned Devil,11.0,,0.0,,0.0,Tank,0.6,Skirmisher,0.5
Efreeti,11.0,,0.0,,0.0,Tank,0.9,Brute,0.6
Remorhaz,11.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.6
Sphinx of Lore,11.0,Boss,1.0,,0.0,Tank,0.6,Spellcaster,0.6
Gynosphinx,11.0,Boss,1.0,,0.0,Spellcaster,0.9,Tank,0.6
Roc,11.0,,0.0,,0.0,Brute,0.9,Tank,0.7
Behir,11.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.6
Archmage,12.0,Boss,0.2,,0.0,Spellcaster,0.9,Artillery,0.8
Erinyes,12.0,,0.0,,0.0,Tank,0.6,Artillery,0.6
Storm Giant,13.0,,0.0,,0.0,Brute,0.6,Spellcaster,0.6
Adult White Dragon,13.0,Boss,1.0,Lieutenant,0.3,Tank,0.6,Controller,0.5
Rakshasa,13.0,Boss,0.2,,0.0,Spellcaster,0.6,Tank,0.4
Nalfeshnee,13.0,Lieutenant,0.3,Solo Challenge,0.3,Tank,0.6,Brute,0.6
Adult Brass Dragon,13.0,Boss,1.0,,0.0,Tank,0.6,Brute,0.3
Vampire,13.0,Boss,1.0,Lieutenant,0.3,Controller,0.6,Tank,0.4
Ice Devil,14.0,Lieutenant,0.3,Solo Challenge,0.3,Tank,0.6,Brute,0.3
Adult Black Dragon,14.0,Boss,1.0,,0.0,Tank,0.6,Brute,0.3
Adult Copper Dragon,14.0,Boss,1.0,,0.0,Tank,0.6,Brute,0.3
Purple Worm,15.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.6
Mummy Lord,15.0,Boss,1.0,,0.0,Spellcaster,0.9,Tank,0.6
Adult Bronze Dragon,15.0,Boss,1.0,Lieutenant,0.3,Tank,0.6,Brute,0.3
Adult Green Dragon,15.0,Boss,1.0,,0.0,Tank,0.6,Brute,0.3
Marilith,16.0,Lieutenant,0.3,Solo Challenge,0.3,Tank,0.6,Skirmisher,0.4
Planetar,16.0,Lieutenant,0.3,,0.2,Tank,0.6,Spellcaster,0.6
Adult Silver Dragon,16.0,Boss,1.0,Lieutenant,0.3,Tank,0.6,Controller,0.4
Adult Blue Dragon,16.0,Boss,1.0,,0.0,Tank,0.6,Brute,0.3
Iron Golem,16.0,Solo Challenge,0.4,,0.0,Tank,0.6,Brute,0.3
Adult Red Dragon,17.0,Boss,1.0,,0.0,Tank,0.6,Brute,0.3
Androsphinx,17.0,Boss,1.0,,0.0,Spellcaster,0.9,Tank,0.6
Dragon Turtle,17.0,Solo Challenge,0.7,,0.0,Tank,0.9,Brute,0.6
Adult Gold Dragon,17.0,Boss,1.0,Lieutenant,0.3,Tank,0.6,Brute,0.3
Sphinx of Valor,17.0,Boss,1.0,Lieutenant,0.3,Tank,0.6,Spellcaster,0.6
Balor,19.0,Lieutenant,0.3,Solo Challenge,0.3,Tank,0.6,Brute,0.3
Pit Fiend,20.0,,0.0,,0.0,Tank,0.6,Spellcaster,0.6
Ancient White Dragon,20.0,Boss,1.0,Enhanced,0.8,Tank,0.6,Controller,0.5
Ancient Brass Dragon,20.0,Boss,1.0,Enhanced,0.8,Tank,0.6,Brute,0.3
Lich,21.0,Boss,1.0,,0.0,Spellcaster,0.9,Tank,0.6
Solar,21.0,Boss,1.0,Lieutenant,0.3,Skirmisher,1.0,Artillery,0.8
Ancient Black Dragon,21.0,Boss,1.0,Enhanced,0.8,Tank,0.6,Brute,0.3
Ancient Copper Dragon,21.0,Boss,1.0,Enhanced,0.8,Tank,0.6,Brute,0.3
Ancient Green Dragon,22.0,Boss,1.0,Enhanced,0.8,Tank,0.6,Brute,0.3
Ancient Bronze Dragon,22.0,Boss,1.0,Enhanced,0.8,Tank,0.9,Brute,0.6
Ancient Blue Dragon,23.0,Boss,1.0,Enhanced,0.8,Tank,0.9,Brute,0.6
Kraken,23.0,Boss,1.0,Lieutenant,0.3,Tank,0.9,Controller,0.9
Ancient Silver Dragon,23.0,Boss,1.0,Enhanced,0.8,Tank,0.9,Brute,0.6
Ancient Gold Dragon,24.0,Boss,1.0,Enhanced,0.8,Tank,0.9,Brute,0.6
Ancient Red Dragon,24.0,Boss,1.0,Enhanced,0.8,Tank,0.9,Brute,0.6
Tarrasque,30.0,Boss,1.0,,0.0,Tank,0.9,Brute,0.6
